,Street,Area,City,Price,beds,baths,Url,Rent_per_room,lat,lng,avg_per_area
80,67 Balmoral Road,MountEden,Auckland,1300.0,4.0,2.0,https://www.myrent.co.nz/listings/MWDPBQ,325.0,-36.88879779999999,174.7583858,346.75
81,3/29 Lane Road,Weymouth,Auckland,465.0,2.0,1.0,https://www.myrent.co.nz/listings/RACUSS,232.5,-37.0468664,174.8606227,207.91666666666666
82,4/45 Reimers Avenue,MountEden,Auckland,580.0,2.0,1.0,https://www.myrent.co.nz/listings/EBMQTD,290.0,-36.8768442,174.7456322,346.75
83,19 Ferry Parade,HeraldIsland,Auckland,300.0,1.0,1.0,https://www.myrent.co.nz/listings/FCBUFX,300.0,-36.781804,174.6530185,300.0
84,110A St Georges Road,Avondale,Auckland,550.0,3.0,1.0,https://www.myrent.co.nz/listings/XRKNGR,183.33333333333331,-36.904106899999995,174.6968519,183.69047619047618
85,G05/7 Ratanui Street,Henderson,Auckland,495.0,1.0,1.0,https://www.myrent.co.nz/listings/7WS1PS,495.0,-36.878625799999995,174.6328938,322.57575757575756
86,,GlenEden,Auckland,650.0,4.0,1.0,https://www.myrent.co.nz/listings/XAHLVV,162.5,-36.90991229999999,174.6507063,224.79166666666666
87,56A Reynella Drive,Massey,Auckland,750.0,4.0,2.0,https://www.myrent.co.nz/listings/V1WCTN,187.5,-36.8405438,174.6109055,219.79166666666666
88,26 Wycherley Drive,BucklandsBeach,Auckland,650.0,3.0,1.0,https://www.myrent.co.nz/listings/SXLWWV,216.66666666666663,-36.887868,174.91239050000001,179.28333333333333
89,10 Hyde Street,ManurewaEast,Auckland,590.0,3.0,2.0,https://www.myrent.co.nz/listings/MLEREM,196.66666666666663,-37.0221014,174.904992,220.83333333333331
90,159 Pah Road,RoyalOak,Auckland,500.0,2.0,1.0,https://www.myrent.co.nz/listings/EVRSEN,250.0,-36.9149541,174.76853169999998,230.0
91,28 Rotoiti Avenue,PakurangaHeights,Auckland,350.0,1.0,1.0,https://www.myrent.co.nz/listings/R3N6PY,350.0,-36.9196686,174.8860355,224.7222222222222
92,110A St Georges Road,Avondale,Auckland,550.0,3.0,1.0,https://www.myrent.co.nz/listings/HJFUFF,183.33333333333331,-36.904106899999995,174.6968519,183.69047619047618
93,48 Waddell Avenue,PointEngland,Auckland,780.0,4.0,3.0,https://www.myrent.co.nz/listings/XJFTUS,195.0,-36.886263799999995,174.8619631,195.0
94,7 Kilcooley Road,FlatBush,Auckland,420.0,1.0,1.0,https://www.myrent.co.nz/listings/N9HK4J,420.0,-36.967163299999996,174.9357666,242.61111111111111
95,2/18 Commodore Drive,Lynfield,Auckland,460.0,1.0,1.0,https://www.myrent.co.nz/listings/6ZFU4S,460.0,-36.9241497,174.71995990000002,318.3333333333333
96,104/10 Lion Place,Epsom,Auckland,1049.0,2.0,2.0,https://www.myrent.co.nz/listings/KVHTBH,524.5,-36.867235799999996,174.7709819,368.94791666666663
97,,GlenEden,Auckland,480.0,2.0,1.0,https://www.myrent.co.nz/listings/PMRFWN,240.0,-36.90991229999999,174.6507063,224.79166666666666
